theorem_complex_id,level,residual_norm,closure_status,exact_semantics,source_registry
motif_spectral_dual_regularity_law_for_soinets,A,6.389484405517578,open,True,base
soi_universal_entropy_plateau_theorem,A,0.8860153555870056,open,True,base
soi_modality_invariant_convergence_and_collapse_completeness,A,0.9907820820808411,open,True,base
soi_modality_dual_closure,A,1.9737184047698975,open,True,base
motif_spectral_entropy_coupling_energy,B,53.855709075927734,open,True,base
modality_collapse_symmetry_operator,B,5.4259138107299805,open,True,base
motif_spectral_modality_collapse_spatial_field,C,2.4169989387701207e-07,numerical_candidate,False,base
hierarchical_soi_stack_transfer_cross_regime_collapse_duality,A,0.04070079326629639,open,False,extended_A
soi_cross_domain_generalization_and_collapse,A,1.4861732721328735,open,False,extended_A
soi_entropy_minimization_and_entropic_catastrophe,A,5.862797260284424,open,False,extended_A
soi_spectrum_learning_and_classification_soi_spectrum_degeneracy_dual_instability,A,0.1178928017616272,open,False,extended_A
soinet_cross_modal_compositionality_modality_invariant_collapse_principle,A,2.0557122297759634e-06,open,False,extended_A
soinet_cross_modal_transfer_generalization_and_dual_stability,A,9.797931671142578,open,False,extended_A
soinet_error_contraction_and_dual_error_orthogonality,A,6.58439302444458,open,False,extended_A
soinet_meta_learnability_dual_closure,A,26.996580123901367,open,False,extended_A
soinet_modality_invariant_learning_and_universal_adaptation,A,0.06368733197450638,open,False,extended_A
soinet_universal_cloning_principle_cloning_failure_duality,A,1.4861732721328735,open,False,extended_A
soinet_universal_expressivity_bound_entropy_minimal_generalization_principle,A,0.0,satisfied,False,extended_A
soinet_universal_generalization_principle_failure_brittleness_duality,A,21.884309768676758,open,False,extended_A
spectral_phase_locking_and_collapse_in_soinet,A,0.0,satisfied,False,extended_A
universal_entropy_minimization_and_collapse_degeneracy_duality_in_soinet,A,0.04790845140814781,open,False,extended_A
