sample,true_index,true_label,predicted_index,predicted_label,confidence,correct,roundtrip_label
0,0,red,0,red,0.9980612397193909,True,red
1,0,red,0,red,0.9981075525283813,True,red
2,0,red,0,red,0.9980970025062561,True,red
3,0,red,0,red,0.9981108903884888,True,red
4,0,red,0,red,0.9980790615081787,True,red
5,0,red,0,red,0.9981361627578735,True,red
6,0,red,0,red,0.9981151819229126,True,red
7,0,red,0,red,0.9980685114860535,True,red
8,1,green,1,green,0.9980549812316895,True,green
9,1,green,1,green,0.9980727434158325,True,green
10,1,green,1,green,0.9981067180633545,True,green
11,1,green,1,green,0.9980263113975525,True,green
12,1,green,1,green,0.9981120824813843,True,green
13,1,green,1,green,0.9980860948562622,True,green
14,1,green,1,green,0.9980838298797607,True,green
15,1,green,1,green,0.9980693459510803,True,green
16,2,blue,2,blue,0.998028576374054,True,blue
17,2,blue,2,blue,0.9981033802032471,True,blue
18,2,blue,2,blue,0.998138427734375,True,blue
19,2,blue,2,blue,0.9981088638305664,True,blue
20,2,blue,2,blue,0.9981100559234619,True,blue
21,2,blue,2,blue,0.998038113117218,True,blue
22,2,blue,2,blue,0.9981168508529663,True,blue
23,2,blue,2,blue,0.9980878233909607,True,blue
24,3,cyan,3,cyan,0.9996030926704407,True,cyan
25,3,cyan,3,cyan,0.999606192111969,True,cyan
26,3,cyan,3,cyan,0.9995859265327454,True,cyan
27,3,cyan,3,cyan,0.9995962977409363,True,cyan
28,3,cyan,3,cyan,0.9995958209037781,True,cyan
29,3,cyan,3,cyan,0.999569833278656,True,cyan
30,3,cyan,3,cyan,0.9995625615119934,True,cyan
31,3,cyan,3,cyan,0.999567449092865,True,cyan
32,4,magenta,4,magenta,0.9995953440666199,True,magenta
33,4,magenta,4,magenta,0.9995830655097961,True,magenta
34,4,magenta,4,magenta,0.9996001124382019,True,magenta
35,4,magenta,4,magenta,0.9996045231819153,True,magenta
36,4,magenta,4,magenta,0.9995934367179871,True,magenta
37,4,magenta,4,magenta,0.9995996356010437,True,magenta
38,4,magenta,4,magenta,0.9995883107185364,True,magenta
39,4,magenta,4,magenta,0.9995648264884949,True,magenta
40,5,yellow,5,yellow,0.9995705485343933,True,yellow
41,5,yellow,5,yellow,0.9995982050895691,True,yellow
42,5,yellow,5,yellow,0.9996088147163391,True,yellow
43,5,yellow,5,yellow,0.9995986819267273,True,yellow
44,5,yellow,5,yellow,0.9996071457862854,True,yellow
45,5,yellow,5,yellow,0.9995988011360168,True,yellow
46,5,yellow,5,yellow,0.9995875954627991,True,yellow
47,5,yellow,5,yellow,0.9996008276939392,True,yellow
